Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10.0,0
Query 2,2,20.0,-29
Query 3,0,0.0,0
Query 4,1,10.0,0
Query 5,2,20.0,-13
Query 6,1,10.0,0
Query 7,2,20.0,-30
Query 8,0,0.0,0
Query 9,1,10.0,0
Query 10,0,0.0,0
Query 11,1,10.0,0
Query 12,0,0.0,0
Query 13,1,10.0,0
Query 14,2,20.0,1
Query 15,4,40.0,-7
Query 16,0,0.0,0
Query 17,5,50.0,-4
Query 18,3,30.0,-10
Query 19,1,10.0,0
Query 20,1,10.0,0
Query 21,1,10.0,0
Query 22,0,0.0,0
Query 23,2,20.0,-10
Query 24,0,0.0,0
Query 25,0,0.0,0
Query 26,1,10.0,0
Query 27,1,10.0,0
Query 28,2,20.0,-33
Query 29,1,10.0,0
Query 30,3,30.0,-5
Query 31,1,10.0,0
Query 32,0,0.0,0
Query 33,1,10.0,0
Query 34,3,30.0,-17
Query 35,2,20.0,-6
Query 36,0,0.0,0
Query 37,2,20.0,-14
Query 38,5,50.0,-3
Query 39,1,10.0,0
Query 40,2,20.0,-7
Query 41,2,20.0,-6
Query 42,0,0.0,0
Query 43,2,20.0,-23
Query 44,2,20.0,-33
Query 45,3,30.0,-11
Query 46,1,10.0,0
Query 47,0,0.0,0
Query 48,0,0.0,0
Query 49,0,0.0,0
Query 50,1,10.0,0
Query 51,1,10.0,0
Query 52,2,20.0,-43
Query 53,1,10.0,0
Query 54,1,10.0,0
Query 55,1,10.0,0
Query 56,4,40.0,-2
Query 57,3,30.0,-4
Query 58,2,20.0,-6
Query 59,1,10.0,0
Query 60,1,10.0,0
Query 61,2,20.0,-20
Query 62,0,0.0,0
Query 63,0,0.0,0
Query 64,1,10.0,0
Query 65,1,10.0,0
Query 66,4,40.0,-1
Query 67,2,20.0,-3
Query 68,4,40.0,-1
Query 69,2,20.0,-16
Query 70,0,0.0,0
Query 71,1,10.0,1
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,2,20.0,-48
Query 75,2,20.0,-5
Query 76,1,10.0,0
Query 77,1,10.0,0
Query 78,3,30.0,-27
Query 79,4,40.0,-9
Query 80,2,20.0,-53
Query 81,1,10.0,0
Query 82,0,0.0,0
Query 83,2,20.0,-5
Query 84,0,0.0,0
Query 85,0,0.0,0
Query 86,3,30.0,0
Query 87,0,0.0,0
Query 88,1,10.0,0
Query 89,0,0.0,0
Query 90,2,20.0,-33
Query 91,1,10.0,0
Query 92,1,10.0,0
Query 93,1,10.0,0
Query 94,2,20.0,-76
Query 95,0,0.0,0
Query 96,2,20.0,-43
Query 97,0,0.0,0
Query 98,0,0.0,0
Query 99,0,0.0,0
Query 100,1,10.0,0
