URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/
","text/html
","516089
","257
"
"https://www.latimes.com/california/story/2022-02-16/singer-percussionist-steve-salas-co-founder-of-tierra-dies-at-69
","text/html
","252032
","147
"
"https://www.latimes.com/sports/rams/story/2022-02-16/rams-championship-parade
","text/html
","249881
","153
"
"https://www.latimes.com/business/story/2022-02-16/stocks-end-mixed-as-traders-parse-next-rate-move-by-the-fed
","text/html
","248052
","145
"
"https://www.latimes.com/sports/rams/story/2022-02-15/rams-2022-contract-status-super-bowl-free-agency-matthew-stafford-aaron-donald
","text/html
","251673
","149
"
"https://www.latimes.com/opinion/story/2022-02-16/gas-ban-building-electrification
","text/html
","257300
","152
"
"https://www.latimes.com/brandpublishing
","text/html
","240999
","149
"
"https://www.latimes.com/environment/story/2022-02-14/western-megadrought-driest-in-1200-years
","text/html
","281143
","154
"
"https://www.latimes.com/sports/rams/story/2022-02-13/aaron-donald-rams-beat-bengals-super-bowl-lvi
","text/html
","289009
","142
"
"https://www.latimes.com/about/pressreleases/story/2022-02-15/l-a-times-short-docs-launches-with-five-films
","text/html
","227984
","135
"
"https://www.latimes.com/sports/rams/story/2022-02-13/aaron-donald-said-strong-possibility-retire-if-rams-win-super-bowl-rodney-harrison
","text/html
","231421
","148
"
"https://www.latimes.com/california/story/2022-02-16/can-l-a-save-its-taxi-industry-its-trying-to-with-new-apps-expanding-permits
","text/html
","259426
","142
"
"https://www.latimes.com/lifestyle/story/2022-02-16/modernism-week-2022-palm-springs
","text/html
","302435
","176
"
"https://www.latimes.com/business/story/2022-02-15/homebuyers-are-losing-hope-as-costlier-loans-sap-affordability
","text/html
","250619
","144
"
"https://www.latimes.com/travel/newsletter/2022-01-20/san-diego-travel-whale-watching-tidepools-aquarium-escapes
","text/html
","268016
","158
"
"https://www.latimes.com/california/story/2022-02-16/cal-state-long-beach-faculty-call-on-csu-chancellor-to-resign
","text/html
","244018
","141
"
"https://www.latimes.com/sports/rams/story/2022-02-15/rams-2022-contract-status-super-bowl-free-agency-matthew-stafford-aaron-donald?_amp=true
","text/html
","240851
","131
"
"https://www.latimes.com/sports/rams/story/2022-02-16/rams-championship-parade?_amp=true
","text/html
","226187
","136
"
"https://www.latimes.com/nation/la-na-1968-east-la-walkouts-20180301-htmlstory.html
","text/html
","311144
","161
"
"https://www.latimes.com/sports/hockey/story/2022-02-16/ducks-routed-by-flames
","text/html
","218214
","139
"
"https://www.latimes.com/sports/newsletter/2022-02-16/rams-parade-need-to-know-sports-report
","text/html
","266921
","154
"
"https://www.latimes.com/people/gary-klein
","text/html
","218667
","133
"
"https://www.latimes.com/food/list/best-los-angeles-restaurants-2020
","text/html
","291766
","164
"
"https://www.latimes.com/food/list/best-los-angeles-restaurants-2021
","text/html
","291766
","164
"
"https://www.latimes.com/california/story/2022-02-09/when-it-is-really-safe-to-take-off-your-mask-in-california
","text/html
","162598
","122
"
"https://www.latimes.com/about/public-affairs
","text/html
","234363
","139
"
"https://www.latimes.com/business/story/2022-02-15/virgin-galactic-space-flight-commercial-ticket-sales
","text/html
","275737
","160
"
"https://www.latimes.com/california/story/2022-02-15/rams-parade-road-closures-covid-safety-route
","text/html
","273721
","163
"
"https://www.latimes.com/sports/dodgers
","text/html
","247216
","142
"
"https://www.latimes.com/california/story/2022-02-16/three-shootings-in-southeastern-san-diego-within-24-hours
","text/html
","239327
","145
"
"https://www.latimes.com/travel/story/2022-02-16/yosemite-will-require-reservations-for-peak-hour-summer-entrance
","text/html
","292811
","163
"
"https://www.latimes.com/california/story/2022-02-15/l-a-county-will-lift-outdoor-mask-mandate-wednesday
","text/html
","212115
","127
"
"https://www.latimes.com/business/story/2022-02-16/stocks-end-mixed-as-traders-parse-next-rate-move-by-the-fed?_amp=true
","text/html
","233449
","150
"
"https://www.latimes.com/sports/rams/story/2022-02-13/robert-woods-odell-beckham-jr-rams-super-bowl-win
","text/html
","322642
","142
"
"https://www.latimes.com/espanol/
","text/html
","333453
","168
"
"https://www.latimes.com/california/latino-life
","text/html
","238102
","150
"
"https://www.latimes.com/sports/rams/story/2022-02-13/rams-receiver-cooper-kupp-mvp-super-bowl-lvi
","text/html
","392008
","204
"
"https://www.latimes.com/california
","text/html
","251674
","143
"
"https://www.latimes.com/business/story/2022-02-15/stocks-gain-ground-oil-prices-fall
","text/html
","206276
","128
"
"https://www.latimes.com/archives/la-xpm-1998-dec-24-ca-57054-story.html
","text/html
","260916
","145
"
"https://www.latimes.com/california/story/2022-01-26/lawmaker-moves-to-fix-delays-in
","text/html
","220969
","133
"
"https://www.latimes.com/people/dylan-hernandez
","text/html
","283030
","162
"
"https://www.latimes.com/business/story/2022-02-15/trucker-protest-wages-economic-system
","text/html
","225590
","96
"
"https://www.latimes.com/espanol/eeuu/articulo/2022-02-16/biden-ordena-entregar-mas-archivos-de-trump-al-congreso
","text/html
","250121
","151
"
"https://www.latimes.com/sports/rams/story/2021-12-09/sony-michel-rams-opportunity-100-yards-giants-start
","text/html
","274730
","145
"
"https://www.latimes.com/california/story/2022-02-14/uc-berkeley-may-be-forced-to-cut-3-000-freshman-seats-under-court-order-to-halt-growth
","text/html
","265964
","170
"
"https://www.latimes.com/lifestyle/story/2022-02-15/gardeners-and-plant-lovers-17-things-to-do-in-southern-california-right-now
","text/html
","245088
","141
"
"https://www.latimes.com/business/story/2022-02-15/us-approves-new-headlights-that-wont-blind-drivers
","text/html
","256064
","171
"
"https://www.latimes.com/sports/highschool
","text/html
","198935
","134
"
"https://www.latimes.com/b2b/business-visionaries
","text/html
","270406
","148
"
"https://www.latimes.com/entertainment-arts/music/story/2020-12-31/rudy-salas-tierra-dies
","text/html
","244491
","145
"
"https://www.latimes.com/opinion/newsletter/2022-02-05/opinion-newsletter-trump-pardon-threat-opinion
","text/html
","189569
","122
"
"https://www.latimes.com/shortdocs/the-beauty-president-directors-statement-123?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=the_beauty_president
","text/html
","267630
","140
"
"https://www.latimes.com/california/story/2022-02-16/column-who-wins-from-californias-main-environmental-law-too-often-the-rich-and-litigious
","text/html
","263973
","137
"
"https://www.latimes.com/california/story/2019-11-12/detective-trapp-podcast
","text/html
","294147
","145
"
"https://www.latimes.com/sports/rams/story/2022-02-13/column-plaschke-on-super-bowl-lvi
","text/html
","266043
","140
"
"https://www.latimes.com/lifestyle/story/2022-02-10/14-of-our-favorite-la-affairs-columns-about-love
","text/html
","259257
","150
"
"https://www.latimes.com/sports/rams/story/2021-01-02/john-wolford-starting-quarterback-rams-cardinals-nfl
","text/html
","250890
","151
"
"https://www.latimes.com/science/story/2022-02-15/where-a-mask-is-required-in-california
","text/html
","332822
","173
"
"https://www.latimes.com/environment
","text/html
","236285
","138
"
"https://www.latimes.com/california/story/2022-02-16/fatal-deputy-shooting-of-woman-near-lancaster-family-disturbance-call
","text/html
","231638
","142
"
"https://www.latimes.com/sports/highschool/story/2022-02-16/high-school-city-section-boys-soccer-results-wednesday
","text/html
","271323
","157
"
"https://www.latimes.com/business/la-fi-garcetti-green-new-deal-los-angeles-20190429-story.html
","text/html
","308908
","166
"
